stock_code,description_clean,n_transacciones,unidades_totales,revenue_total,precio_medio,cluster,categoria_regla,categorias_candidatas,num_categorias_candidatas,estrato_muestreo,categoria_predicha,confianza_margen,categoria_final
15044C,PURPLE PAPER PARASOL,232,967,3027.26,3.82,22,Jardín y Exterior,['Jardín y Exterior'],1,Jardín y Exterior,Jardín y Exterior,1.9004115372784836,Jardín y Exterior
15044D,RED PAPER PARASOL,229,1596,4559.65,3.44,22,Jardín y Exterior,['Jardín y Exterior'],1,Jardín y Exterior,Jardín y Exterior,1.9502800881853009,Jardín y Exterior
15056BL,EDWARDIAN PARASOL BLACK,956,9620,48723.77,6.83,22,Jardín y Exterior,['Jardín y Exterior'],1,Jardín y Exterior,Jardín y Exterior,1.9739619041390537,Jardín y Exterior
15056N,EDWARDIAN PARASOL NATURAL,1156,11459,60145.85,7.39,22,Jardín y Exterior,['Jardín y Exterior'],1,Jardín y Exterior,Jardín y Exterior,1.9272072135220382,Jardín y Exterior
15056P,EDWARDIAN PARASOL PINK,383,2519,12806.76,6.86,22,Jardín y Exterior,['Jardín y Exterior'],1,Jardín y Exterior,Jardín y Exterior,2.0113162180611583,Jardín y Exterior
15058A,BLUE POLKADOT GARDEN PARASOL,149,476,3153.73,8.55,42,Jardín y Exterior,['Jardín y Exterior'],1,Jardín y Exterior,Jardín y Exterior,2.7443208296115316,Jardín y Exterior
15058B,PINK POLKADOT GARDEN PARASOL,156,438,3327.67,9.68,42,Jardín y Exterior,['Jardín y Exterior'],1,Jardín y Exterior,Jardín y Exterior,2.6984831238176925,Jardín y Exterior
15058C,ICE CREAM DESIGN GARDEN PARASOL,122,470,2753.72,9.67,42,Jardín y Exterior,['Jardín y Exterior'],1,Jardín y Exterior,Jardín y Exterior,2.617152783928759,Jardín y Exterior
15059A,ENGLISH ROSE EDWARDIAN PARASOL,4,509,1567.0,10.5,22,Jardín y Exterior,['Jardín y Exterior'],1,Jardín y Exterior,Jardín y Exterior,1.8637525086228726,Jardín y Exterior
15060B,FAIRY CAKE DESIGN UMBRELLA,454,1419,6486.79,5.57,32,,[],0,Sin regla,Cocina y Mesa,0.46162315821240874,Cocina y Mesa
16008,SMALL FOLDING SCISSOR POINTED EDGE,85,3141,422.96,0.16,22,,[],0,Sin regla,Cocina y Mesa,0.20437127925488519,Cocina y Mesa
16010,FOLDING CAMPING SCISSOR W KNIF S,4,32,3.84,0.12,22,,[],0,Sin regla,Cocina y Mesa,0.041693896639800165,Sin clasificar
16011,ANIMAL STICKERS,112,3812,799.32,0.21,13,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.8530415846478416,Papelería y Tarjetería
16012,FOOD DRINK SPONGE STICKERS,84,2901,608.01,0.21,13,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.8136580792905077,Papelería y Tarjetería
16014,SMALL CHINESE STYLE SCISSOR,93,29355,9513.1,0.4,22,,[],0,Sin regla,Cocina y Mesa,0.3917234615208632,Cocina y Mesa
16015,MEDIUM CHINESE STYLE SCISSOR,65,1572,711.38,0.49,22,,[],0,Sin regla,Cocina y Mesa,0.1625867650742922,Sin clasificar
16016,LARGE CHINESE STYLE SCISSOR,106,2314,1870.7,0.84,22,,[],0,Sin regla,Cocina y Mesa,0.30835909631412334,Cocina y Mesa
16020C,CLEAR STATIONERY BOX SET,40,160,134.5,0.84,4,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.4980847901649057,Papelería y Tarjetería
16033,MINI HIGHLIGHTER PENS,50,15121,1544.52,0.12,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.9004755992477014,Papelería y Tarjetería
16043,POP ART PUSH DOWN RUBBER,13,2145,180.3,0.32,22,,[],0,Sin regla,Papelería y Tarjetería,0.27545440163009866,Papelería y Tarjetería
16044,POP ART FLUORESCENT PENS,3,6193,389.22,0.3,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.7899490339276416,Papelería y Tarjetería
16045,POPART WOODEN PENCILS ASST,75,9312,429.44,0.05,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.9666994965386866,Papelería y Tarjetería
16046,TEATIME PEN CASE PENS,62,10056,1223.5,0.94,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,2.513382235454274,Papelería y Tarjetería
16047,POP ART PEN CASE PENS,31,10612,1054.7,0.96,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,2.6491352483577977,Papelería y Tarjetería
16048,TEATIME ROUND PENCIL SHARPENER,106,3461,537.06,0.4,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.8959716602773586,Papelería y Tarjetería
16049,TEATIME GEL PENS ASST,32,3169,560.48,0.38,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.8356184129819912,Papelería y Tarjetería
16050,TEATIME PENCIL WITH RUBBER,8,151,46.45,0.4,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.86107346031962,Papelería y Tarjetería
16051,TEATIME PENCIL W STAMP ASST,4,941,84.69,0.43,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.9822759924867905,Papelería y Tarjetería
16052,TEATIME PUSH DOWN RUBBER,35,848,281.32,0.57,22,,[],0,Sin regla,Papelería y Tarjetería,0.08180502254267785,Sin clasificar
16053,POPART COL BALLPOINT PEN ASST,10,4313,185.73,0.17,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.8468004593857985,Papelería y Tarjetería
16054,POPART RECT PENCIL SHARPENER ASST,39,1210,159.0,0.17,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,2.2139419585570232,Papelería y Tarjetería
16119,FUNKY GIRL ADDRESS BOOK,8,273,130.71,1.03,22,,[],0,Sin regla,Cajas y Almacenamiento,0.2229083141127522,Cajas y Almacenamiento
16151A,FLOWERS HANDBAG BLUE AND ORANGE,5,52,72.5,2.25,22,Bolsos y Carteras,['Bolsos y Carteras'],1,Bolsos y Carteras,Bolsos y Carteras,1.793452428713635,Bolsos y Carteras
16156L,WRAP CAROUSEL,36,950,399.0,0.42,37,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.6395689476469748,Papelería y Tarjetería
16156N,WRAP FRIENDSHIP ON GREEN,56,1475,619.5,0.42,37,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.6985718021611467,Papelería y Tarjetería
16156S,WRAP PINK FAIRY CAKES,419,16661,6558.62,0.42,19,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.7990986080199682,Papelería y Tarjetería
16161C,WRAP SPEED DEMONS,2,450,45.0,0.1,37,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.964019872855158,Papelería y Tarjetería
16161E,WRAP BOUDOIR,9,750,75.0,0.1,37,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.9630378826747323,Papelería y Tarjetería
16161G,WRAP BAD HAIR DAY,33,975,97.5,0.1,37,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,2.2746205601653537,Papelería y Tarjetería
16161M,WRAP PINK FLOCK,39,1050,439.0,0.42,37,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,2.033935718270865,Papelería y Tarjetería
16161P,WRAP ENGLISH ROSE,440,13198,5435.4,0.42,37,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.8024611173922418,Papelería y Tarjetería
16161U,WRAP SUKI AND FRIENDS,318,10026,4084.92,0.42,37,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.9055671295458019,Papelería y Tarjetería
16162L,THE KING GIFT BAG,30,8101,570.43,0.75,6,Bolsos y Carteras,['Bolsos y Carteras'],1,Bolsos y Carteras,Bolsos y Carteras,2.0181079680977976,Bolsos y Carteras
16162M,THE KING GIFT BAG 25X24X12CM,13,88,36.96,0.42,6,Bolsos y Carteras,['Bolsos y Carteras'],1,Bolsos y Carteras,Bolsos y Carteras,1.9700021230075309,Bolsos y Carteras
16168M,FUNKY MONKEY GIFT BAG MEDIUM,101,1686,512.38,0.59,6,Bolsos y Carteras,['Bolsos y Carteras'],1,Bolsos y Carteras,Bolsos y Carteras,1.854999859577227,Bolsos y Carteras
16168S,FUNKY MONKEY GIFT BAG SMALL,11,1283,126.83,0.31,6,Bolsos y Carteras,['Bolsos y Carteras'],1,Bolsos y Carteras,Bolsos y Carteras,1.9884382686010973,Bolsos y Carteras
16169A,WRAP CHRISTMAS DECOUPAGE,1,25,10.5,0.42,37,Navidad,"['Navidad', 'Papelería y Tarjetería']",2,Navidad,Navidad,1.9050450525001559,Navidad
16169C,WRAP BLUE REINDEER,43,1350,567.0,0.42,37,Navidad,"['Navidad', 'Papelería y Tarjetería']",2,Navidad,Navidad,1.902298336800158,Navidad
16169D,WRAP WINTER FOREST,9,250,105.0,0.42,37,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.9535961091320404,Papelería y Tarjetería
16169E,WRAP 50 S CHRISTMAS,150,4563,1892.46,0.42,37,Navidad,"['Navidad', 'Papelería y Tarjetería']",2,Navidad,Navidad,2.7453035554891834,Navidad
16169F,WRAP BLIZZARD,34,975,409.5,0.42,37,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,3.2870966455159056,Papelería y Tarjetería
16169G,WRAP ROMANTIC DECOUPAGE,1,25,10.5,0.42,37,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.9650803748563213,Papelería y Tarjetería
16169K,WRAP FOLK ART,60,2075,658.75,0.36,37,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.971511802178405,Papelería y Tarjetería
16169M,WRAP DAISY CARPET,60,2060,640.95,0.35,37,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,2.462578812320871,Papelería y Tarjetería
16169N,WRAP BLUE RUSSIAN FOLKART,56,2025,626.25,0.35,37,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.8806263219714727,Papelería y Tarjetería
16169P,WRAP GREEN RUSSIAN FOLKART,48,1750,533.75,0.36,37,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.8407280651628941,Papelería y Tarjetería
16192,PINK BALLET OPENING CUBE BOX,1,3,12.9,4.3,4,,[],0,Sin regla,Cajas y Almacenamiento,0.4565701752699819,Cajas y Almacenamiento
16201A,PASTEL PINK PHOTO ALBUM,9,101,213.37,3.77,33,Marcos y Fotografía,['Marcos y Fotografía'],1,Marcos y Fotografía,Marcos y Fotografía,2.1224633522481433,Marcos y Fotografía
16201B,PASTEL BLUE PHOTO ALBUM,5,34,81.1,2.84,33,Marcos y Fotografía,['Marcos y Fotografía'],1,Marcos y Fotografía,Marcos y Fotografía,1.978482289236543,Marcos y Fotografía
16202A,PASTEL PINK PHOTO ALBUM,21,662,290.45,4.49,33,Marcos y Fotografía,['Marcos y Fotografía'],1,Marcos y Fotografía,Marcos y Fotografía,2.1224633522481433,Marcos y Fotografía
16202B,PASTEL BLUE PHOTO ALBUM,22,1039,528.56,4.77,33,Marcos y Fotografía,['Marcos y Fotografía'],1,Marcos y Fotografía,Marcos y Fotografía,1.978482289236543,Marcos y Fotografía
16202C,BEIGE PHOTO ALBUM,12,97,230.59,3.98,33,Marcos y Fotografía,['Marcos y Fotografía'],1,Marcos y Fotografía,Marcos y Fotografía,2.5536685826313006,Marcos y Fotografía
16202E,BLACK PHOTO ALBUM,14,82,162.73,3.4,33,Marcos y Fotografía,['Marcos y Fotografía'],1,Marcos y Fotografía,Marcos y Fotografía,2.4151216956926875,Marcos y Fotografía
16206B,RED PURSE WITH PINK HEART,16,96,116.4,1.23,39,Bolsos y Carteras,['Bolsos y Carteras'],1,Bolsos y Carteras,Bolsos y Carteras,1.9743384683440646,Bolsos y Carteras
16207A,PINK STRAWBERRY HANDBAG,76,143,423.53,3.0,22,Bolsos y Carteras,['Bolsos y Carteras'],1,Bolsos y Carteras,Bolsos y Carteras,1.9812782125435786,Bolsos y Carteras
16207B,PINK HEART RED HANDBAG,46,265,457.65,2.65,39,Bolsos y Carteras,['Bolsos y Carteras'],1,Bolsos y Carteras,Bolsos y Carteras,2.13713145084302,Bolsos y Carteras
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,41,366,287.01,1.68,22,,[],0,Sin regla,Papelería y Tarjetería,0.23460483614217054,Papelería y Tarjetería
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,3,8,5.2,0.65,22,,[],0,Sin regla,Papelería y Tarjetería,0.37949412180671355,Papelería y Tarjetería
16216,LETTER SHAPE PENCIL SHARPENER,89,4158,371.64,0.22,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.9092686580041183,Papelería y Tarjetería
16218,CARTOON PENCIL SHARPENERS,98,4629,448.13,0.45,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,2.60460199263317,Papelería y Tarjetería
16219,HOUSE SHAPE PENCIL SHARPENER,128,3357,499.55,0.56,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.931017700109655,Papelería y Tarjetería
16225,RATTLE SNAKE EGGS,166,1520,1271.66,1.56,22,,[],0,Sin regla,Papelería y Tarjetería,0.6297534349053248,Papelería y Tarjetería
16235,RECYCLED PENCIL WITH RABBIT ERASER,314,5827,1333.95,0.31,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.7032124682673055,Papelería y Tarjetería
16236,KITTY PENCIL ERASERS,265,2652,593.29,0.3,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,2.1360852877367122,Papelería y Tarjetería
16237,SLEEPING CAT ERASERS,585,10385,2233.15,0.3,22,,[],0,Sin regla,Papelería y Tarjetería,0.42274078555852657,Papelería y Tarjetería
16238,PARTY TIME PENCIL ERASERS,237,2447,559.54,0.31,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.8149902162357887,Papelería y Tarjetería
16239,BALLERINA HEART DECORATION,21,347,492.17,2.66,1,Decoración del Hogar,['Decoración del Hogar'],1,Decoración del Hogar,Decoración del Hogar,1.9739692934621438,Decoración del Hogar
16243B,BROWN COZY SQUARE PHOTO ALBUM,8,212,441.77,5.5,33,Marcos y Fotografía,['Marcos y Fotografía'],1,Marcos y Fotografía,Marcos y Fotografía,1.97766639192626,Marcos y Fotografía
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,28,186,479.41,4.07,22,,[],0,Sin regla,Marcos y Fotografía,0.7082655051534825,Marcos y Fotografía
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,29,345,765.02,3.87,22,,[],0,Sin regla,Marcos y Fotografía,0.7137973800523882,Marcos y Fotografía
16245A,PINK MINI STATIONERY SET W CASE,7,11,13.75,1.25,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.9591703079396712,Papelería y Tarjetería
16248B,BLUE HOLE PUNCH,12,81,101.25,1.25,22,,[],0,Sin regla,Bolsos y Carteras,0.03935822772947328,Sin clasificar
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,41,941,305.66,1.27,22,,[],0,Sin regla,Decoración del Hogar,0.09021255544578544,Sin clasificar
16256B,FLOWER PENCIL RUBBER 5 MINI PENCILS,36,524,232.35,0.58,36,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,2.414654620975296,Papelería y Tarjetería
16256C,HEARTS PENCIL RUBBER 5 MINI PENCILS,10,169,70.98,0.42,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,2.389601791564142,Papelería y Tarjetería
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,103,1063,375.93,0.52,6,Bolsos y Carteras,['Bolsos y Carteras'],1,Bolsos y Carteras,Bolsos y Carteras,1.8955685219571312,Bolsos y Carteras
16258B,DAISY ERASERS IN BAG,16,1016,221.06,0.36,6,Bolsos y Carteras,['Bolsos y Carteras'],1,Bolsos y Carteras,Bolsos y Carteras,1.3463158391473486,Bolsos y Carteras
16259,PIECE OF CAMO STATIONERY SET,55,5473,766.09,0.15,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.8157260896967853,Papelería y Tarjetería
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,23,1211,299.35,0.28,22,,[],0,Sin regla,Papelería y Tarjetería,0.23216405161990078,Papelería y Tarjetería
17003,BROCADE RING PURSE,462,70369,14766.42,0.3,22,Bolsos y Carteras,['Bolsos y Carteras'],1,Bolsos y Carteras,Bolsos y Carteras,2.0573619657579147,Bolsos y Carteras
17007B,S 3 POT POURI CUSHIONS BLUE COLOURS,7,34,71.4,2.1,22,Textiles del Hogar,['Textiles del Hogar'],1,Textiles del Hogar,Textiles del Hogar,1.8949142590996422,Textiles del Hogar
17011A,ORIGAMI VANILLA INCENSE FLOWER,12,261,179.56,2.77,36,,[],0,Sin regla,Velas e Iluminación,0.9587841845737969,Velas e Iluminación
17011B,ORIGAMI JASMINE INCENSE FLOWER,2,19,11.1,1.2,36,,[],0,Sin regla,Velas e Iluminación,0.5568210953891216,Velas e Iluminación
17011C,ORIGAMI LAVENDER INCENSE FLOWER,2,335,221.4,2.48,36,,[],0,Sin regla,Velas e Iluminación,0.7721290590415045,Velas e Iluminación
17011D,ORIGAMI ROSE INCENSE FLOWER,4,209,135.7,1.84,36,,[],0,Sin regla,Velas e Iluminación,0.6948367118476871,Velas e Iluminación
17011E,ORIGAMI OPIUM SCENT INCENSE FLOWER,1,124,80.6,0.65,36,,[],0,Sin regla,Velas e Iluminación,0.7246276781683179,Velas e Iluminación
17011F,ORIGAMI SANDLEWOOD INCENSE FLOWER,20,385,336.2,2.12,36,,[],0,Sin regla,Velas e Iluminación,0.7731908495222477,Velas e Iluminación
17012A,ORIGAMI VANILLA INCENSE CANDLE SET,96,726,806.16,2.23,35,Velas e Iluminación,['Velas e Iluminación'],1,Velas e Iluminación,Velas e Iluminación,2.2345565091409156,Velas e Iluminación
17012B,ORIGAMI JASMINE INCENSE CANDLE SET,126,721,867.45,2.19,35,Velas e Iluminación,['Velas e Iluminación'],1,Velas e Iluminación,Velas e Iluminación,1.816907010294441,Velas e Iluminación
17012C,ORIGAMI LAVENDER INCENSE CANDL SET,113,856,950.4,2.02,22,,[],0,Sin regla,Velas e Iluminación,1.248789576004282,Velas e Iluminación
17012D,ORIGAMI ROSE INCENSE CANDLE SET,116,520,658.72,1.95,35,Velas e Iluminación,['Velas e Iluminación'],1,Velas e Iluminación,Velas e Iluminación,2.0969851101879895,Velas e Iluminación
17012E,ORIGAMI OPIUM INCENSE CANDLE SET,29,263,296.79,2.49,35,Velas e Iluminación,['Velas e Iluminación'],1,Velas e Iluminación,Velas e Iluminación,1.8999732561278564,Velas e Iluminación
17012F,ORIGAMI SANDLEWOOD INCENSE CAND SET,107,586,680.65,1.88,22,,[],0,Sin regla,Velas e Iluminación,1.1488013879061605,Velas e Iluminación
17013B,ORIGAMI JASMINE INCENSE IN TUBE,3,256,221.03,1.71,22,,[],0,Sin regla,Velas e Iluminación,0.2546937027452726,Velas e Iluminación
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,2,213,89.46,0.42,22,,[],0,Sin regla,Velas e Iluminación,0.38014075487291416,Velas e Iluminación
17013D,ORIGAMI ROSE INCENSE IN TUBE,31,1068,572.4,1.71,22,,[],0,Sin regla,Velas e Iluminación,0.2843419740254666,Velas e Iluminación
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,5,62,26.7,1.38,22,,[],0,Sin regla,Velas e Iluminación,0.4647722090651225,Velas e Iluminación
17014A,ORIGAMI VANILLA INCENSE CONES,16,276,170.13,1.66,22,,[],0,Sin regla,Velas e Iluminación,0.9566848461412325,Velas e Iluminación
17014C,ORIGAMI LAVENDER INCENSE CONES,2,97,43.75,1.92,22,,[],0,Sin regla,Velas e Iluminación,0.7697441544505486,Velas e Iluminación
17014D,ORIGAMI ROSE INCENSE CONES,9,479,204.36,1.8,22,,[],0,Sin regla,Velas e Iluminación,0.6994065400315923,Velas e Iluminación
17014E,ORIGAMI OPIUM INCENSE CONES,6,95,36.6,1.42,22,,[],0,Sin regla,Velas e Iluminación,0.5946938212161826,Velas e Iluminación
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,4,61,23.7,1.31,22,,[],0,Sin regla,Velas e Iluminación,0.7154297754255591,Velas e Iluminación
17021,NAMASTE SWAGAT INCENSE,83,3720,984.24,0.29,22,,[],0,Sin regla,Velas e Iluminación,0.1778231776987802,Sin clasificar
17027A,INCENSE BAZAAR CANNABIS,2,228,84.84,0.36,22,,[],0,Sin regla,Velas e Iluminación,0.6424992134380644,Velas e Iluminación
17028J,INCENSE BAZAAR PEACH,1,6,2.52,0.42,22,,[],0,Sin regla,Velas e Iluminación,0.2943453347013488,Velas e Iluminación
17033,BROCADE PURSE SMALL ARCH BUTTON,69,3280,867.84,0.29,22,Bolsos y Carteras,['Bolsos y Carteras'],1,Bolsos y Carteras,Bolsos y Carteras,1.9206320632996694,Bolsos y Carteras
17038,PORCELAIN BUDAH INCENSE HOLDER,55,2559,254.51,0.43,22,,[],0,Sin regla,Velas e Iluminación,1.0146008534979847,Velas e Iluminación
17039,INLAID WOOD INCENSE HOLDER,43,3707,837.88,0.38,22,,[],0,Sin regla,Velas e Iluminación,0.506689022457029,Velas e Iluminación
17061,ASSORTED SHAPED STENCIL FOR HENNA,1,52,2.08,0.04,22,,[],0,Sin regla,Papelería y Tarjetería,0.3366049799045469,Papelería y Tarjetería
17084A,TRANQUILITY MASALA INCENSE,18,442,92.82,0.21,22,,[],0,Sin regla,Velas e Iluminación,0.23778194433154753,Velas e Iluminación
17084G,MOON INCENSE,2,50,10.5,0.21,22,,[],0,Sin regla,Velas e Iluminación,0.42353218426145567,Velas e Iluminación
17084J,LOVE POTION MASALA INCENSE,20,456,95.76,0.21,31,,[],0,Sin regla,Velas e Iluminación,0.4272486857448957,Velas e Iluminación
